socks4://41.139.147.86:5678,KE,Nairobi
http://102.0.18.198:8080,KE,Unknown
http://102.0.8.23:8080,KE,Unknown
http://41.72.213.182:8090,KE,Unknown
http://102.0.21.156:8080,KE,Unknown
