socks5://124.248.184.144:1080,KH,Phnom Penh
socks5://202.62.50.222:1080,KH,Unknown
socks5://111.67.103.90:1080,KH,Unknown
http://103.118.46.174:8080,KH,Unknown
http://103.118.46.61:8080,KH,Unknown
http://116.212.149.218:8080,KH,Unknown
http://103.216.48.124:8080,KH,Unknown
http://36.37.147.34:8080,KH,Unknown
http://103.118.46.176:8080,KH,Phnom Penh
http://203.171.252.7:8080,KH,Unknown
http://103.118.47.205:8080,KH,Phnom Penh
http://203.95.199.159:8080,KH,Unknown
http://203.95.198.126:8080,KH,Unknown
http://203.95.196.29:8080,KH,Unknown
http://103.118.44.151:8080,KH,Unknown
socks5://203.189.151.19:1080,KH,Phnom Penh
http://203.95.198.186:8080,KH,Phnom Penh
socks5://110.235.248.81:1080,KH,Phnom Penh
socks5://124.248.177.43:1080,KH,Phnom Penh
